binomial,extinction.rate.hackett,extinction.rate.ericson,rab.ex.rate.lumped,rab.ex.rate.split,English_name,TipLabel,Female_plumage_score,Male_plumage_score,Body_size_ppca,Tropical_life_history_ppca,Sexual_selection_ppca,Cooperative_breeding_ppca,Migration_ppca,SDi,range.size.m2,bioclim1,bioclim2,bioclim3,bioclim4,bioclim5,bioclim6,bioclim7,bioclim8,bioclim9,bioclim10,bioclim11,bioclim12,bioclim13,bioclim14,bioclim15,bioclim16,bioclim17,bioclim18,bioclim19,se.bioclim1,se.bioclim2,se.bioclim3,se.bioclim4,se.bioclim5,se.bioclim6,se.bioclim7,se.bioclim8,se.bioclim9,se.bioclim10,se.bioclim11,se.bioclim12,se.bioclim13,se.bioclim14,se.bioclim15,se.bioclim16,se.bioclim17,se.bioclim18,se.bioclim19,cclgmbi1,cclgmbi10,cclgmbi11,cclgmbi12,cclgmbi13,cclgmbi14,cclgmbi15,cclgmbi16,cclgmbi17,cclgmbi18,cclgmbi19,cclgmbi2,cclgmbi3,cclgmbi4,cclgmbi5,cclgmbi6,cclgmbi7,cclgmbi8,cclgmbi9,se.cclgmbi1,se.cclgmbi10,se.cclgmbi11,se.cclgmbi12,se.cclgmbi13,se.cclgmbi14,se.cclgmbi15,se.cclgmbi16,se.cclgmbi17,se.cclgmbi18,se.cclgmbi19,se.cclgmbi2,se.cclgmbi3,se.cclgmbi4,se.cclgmbi5,se.cclgmbi6,se.cclgmbi7,se.cclgmbi8,se.cclgmbi9,NPP,NPP.se,Pop_Density,pop.density.se,X2010.IUCN.Red.List.category,BLFamilyLatin,BLFamilyEnglish,IOCOrder,PassNonPass,OscSubOsc,PCA,Segment.classification,Colour.discriminability
Acanthiza katherina,0.002113668,0.002319708,0.014529073,0.014054625,Mountain Thornbill,Acanthiza_katherina,41.25,43.19444444,-1.378541496,0.26873757,-0.391633221,2.244888527,-0.539632293,1.047138047,58196090311,225.765,122.931,57.289,3009.643,323.312,110.425,212.887,252.565,193.843,258.347,182.38,1112.382,259.395,12.612,99.916,695.208,42.896,531.81,53.349,0.404771064,0.486494518,0.058931757,12.98122181,0.647492009,0.518827097,0.840534788,0.389843241,0.428429578,0.428983237,0.444579859,15.56539835,2.716029048,0.482533205,0.400753724,7.923054432,1.478442754,6.38652798,1.905136411,189.268,224.807,138.63,1049.056,250.457,8.399,105.84,675.072,30.314,508.033,32.288,139.739,55.398,3469.348,298.862,48.704,250.158,221.309,151.059,0.413317078,0.404493963,0.472177988,12.98599364,2.307956849,0.339990283,0.385573686,6.849750791,1.136105691,4.157590103,1.151534232,0.27412045,0.024458009,9.877168995,0.439174031,0.535811046,0.496001062,0.424772823,0.485919373,6655.673,105.3592763,0.506811937,0.106040993,LC,Acanthizidae,Thornbills and gerygones,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Acanthiza lineata,0.004223812,0.002514928,0.014018407,0.013199795,Striated Thornbill,Acanthiza_lineata,45.97222222,44.16666667,-1.366550283,-0.474054418,-0.505595639,2.244888527,-0.539632293,0.960725076,1.04E+12,162.846,128.46,48.789,4736.267,297.255,35.915,261.34,175.306,156.73,221.598,100.364,720.992,93.587,33.645,30.416,256.031,116.481,209.553,161.594,0.918540146,0.506225903,0.077630571,23.9536669,1.007013431,0.73658695,1.073306287,2.178663108,1.467788644,0.969047702,0.869532973,9.200584584,1.336936734,0.42082784,0.397087676,3.724499152,1.418327639,3.939855283,2.525831148,125.924,189.152,59.924,690.257,93.657,29.717,33.656,252.932,102.015,209.4,142.615,137.019,48.427,5025.485,271.381,-9.189,280.57,138.444,118.029,0.894944216,0.872229144,0.854307946,8.938204431,1.424539457,0.374883246,0.440644791,3.933729732,1.259476501,4.074880937,2.45643458,0.413966191,0.098510788,18.86858673,0.845116596,0.64478448,0.769073842,2.231178393,1.560103869,7665.197,255.5164974,21.63616903,9.023250968,LC,Acanthizidae,Thornbills and gerygones,PASSERIFORMES,PASSERIFORMES,Passeri,-0.7,-0.75,71
Acanthiza murina,0.001392305,0.001332413,0.01344125,0.013199795,Papuan Thornbill,Acanthiza_murina,45,40.83333333,NA,NA,NA,NA,NA,0.907407407,84339375223,151.638,105.82,85.818,626.601,214.885,92.201,122.684,155.808,146.06,157.991,142.174,3188.856,339.699,195.77,19.292,961.972,625.075,931.298,652.689,0.964064508,0.195544977,0.109949829,5.525077763,0.900301237,1.001051799,0.199624633,0.928008802,1.003189309,0.93146903,0.998293701,26.75102133,1.99677979,2.865163916,0.392447131,5.921340853,8.966645309,5.108889306,9.897067253,115.587,123.114,102.779,2288.141,297.078,93.72,36.344,804.886,314.558,759.993,326.368,108.324,81.749,841.098,180.657,48.882,131.775,122.27,103.306,0.95671089,0.934895199,0.990872336,17.3588012,1.981570725,1.753169474,0.40157057,5.890992004,5.488120817,5.139996159,5.759354368,0.227069559,0.07525731,6.134638227,0.910684741,0.994762096,0.285513385,0.946019055,1.005111244,12842.115,113.04476,31.01514115,1.201743779,LC,Acanthizidae,Thornbills and gerygones,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Acanthiza nana,0.001392305,0.001332413,0.013905272,0.014659284,Yellow Thornbill,Acanthiza_nana,38.05555556,38.05555556,-1.529711179,-0.564863378,-0.554356545,2.244888527,-0.539632293,1,2.02E+12,180.561,133.47,48.653,4969.631,317.344,44.808,272.536,208.47,155.358,241.391,114.259,609.833,87.339,25.56,36.333,235.568,90.632,204.085,118.099,1.0464757,0.473682885,0.086603066,26.54914111,1.112326811,0.824329215,1.096634539,2.193964124,1.34397772,1.089229333,0.993219212,9.648844662,1.655971715,0.438965934,0.63704469,4.628736823,1.451476959,4.321489448,2.535572189,142.966,206.565,74.264,591.153,89.059,21.833,42.285,238.59,76.721,206.358,101.43,140.044,48.367,5152.48,286.949,-0.351,287.3,168.759,117.473,1.021191302,0.973423509,0.984779211,9.072800742,1.631774558,0.410047863,0.683712833,4.574459266,1.357641466,4.292005259,2.441470024,0.368151599,0.102707643,21.17265895,0.898696865,0.718547221,0.779418689,2.196386358,1.353881925,5702.911,258.1791727,10.46927282,3.988619086,LC,Acanthizidae,Thornbills and gerygones,PASSERIFORMES,PASSERIFORMES,Passeri,-0.19,-0.47,26
Acanthiza pusilla,0.002113668,0.002319708,0.01386608,0.014127016,Brown Thornbill,Acanthiza_pusilla,41.66666667,40.83333333,-1.360274681,-0.422929605,-0.332273736,-0.445276143,-0.539632293,0.98,1.13E+12,161.6984925,124.8180905,49.06030151,4531.054271,290.7517588,38.24020101,252.5115578,174.0824121,156.1437186,217.6211055,101.6231156,799.7246231,106.3547739,35.24422111,32.94974874,291.3487437,123.7969849,233.2643216,180.2281407,1.150932188,0.587436481,0.078588384,27.0131564,1.291233437,0.845632411,1.241665588,2.364310716,1.393136514,1.223291513,1.060111386,11.5367024,1.615548023,0.530245207,0.487477524,4.52539242,1.86510412,4.230308646,3.888656283,124.819,185.405,60.681,778.482,107.636,31.735,36.515,291.922,109.506,237.691,163.059,135.096,48.837,4855.388,265.668,-8.57,274.238,137.26,118.218,1.149656448,1.12871563,1.08015924,12.19276947,1.753514276,0.52200696,0.566033717,4.894580762,1.887601389,4.43248739,4.284639268,0.485984532,0.100899017,21.81920368,1.08804026,0.760485001,0.929142972,2.440423337,1.46773319,8535.761,273.9482243,16.18591034,4.614920249,LC,Acanthizidae,Thornbills and gerygones,PASSERIFORMES,PASSERIFORMES,Passeri,-0.21,-0.48,48
Acanthiza reguloides,0.002113668,0.002004154,0.01344125,0.013288166,Buff-rumped Thornbill,Acanthiza_reguloides,42.91666667,42.36111111,-1.302895172,-0.630043913,-0.411146379,2.244888527,-0.539632293,0.987055016,1.84E+12,181.935,133.136,49.098,4866.529,316.896,47.197,269.699,208.377,159.037,241.34,116.86,637.017,94.688,25.531,39.238,254.861,90.592,219.054,118.304,1.063956192,0.465652592,0.09808168,28.16159098,1.069625768,0.890679235,1.108311668,2.193204281,1.323633498,1.066268882,1.059240478,9.086097285,1.755046108,0.43052804,0.72191032,4.84603526,1.409944495,4.466218332,2.363597719,144.42,206.647,76.685,618.739,95.757,21.955,44.573,257.402,76.74,221.897,101.5,140.243,48.827,5064.688,286.764,1.439,285.325,170.204,120.095,1.038812173,0.94957574,1.041833572,8.624139416,1.735692536,0.412124765,0.771824062,4.796039866,1.343805124,4.435754988,2.314650645,0.35776801,0.108521186,23.13428196,0.860381637,0.756961868,0.794294831,2.216829429,1.34791203,5564.764,221.7330673,9.043713641,3.65794692,LC,Acanthizidae,Thornbills and gerygones,PASSERIFORMES,PASSERIFORMES,Passeri,-0.8,-0.65,63
Acanthiza robustirostris,0.002113668,0.002004154,0.013518846,0.01458315,Slaty-backed Thornbill,Acanthiza_robustirostris,46.66666667,45.69444444,-1.47831137,-0.452193651,-0.362936358,-0.445276143,-0.539632293,0.979166667,2.06E+12,219.367,149.558,47.098,5876.081,373.832,59.18,314.652,263.593,181.103,289.569,140.025,243.337,41.808,6.787,49.483,106.187,25.886,96.92,44.065,0.612942093,0.199676004,0.068841377,13.78054657,0.5188516,0.591345322,0.405859111,1.675437388,1.18312475,0.592954327,0.614970376,2.028630763,0.61030124,0.100646713,0.628059049,1.468697076,0.325488782,1.442622182,0.547235088,182.829,250.646,106.07,237.929,45.019,5.123,59.079,112.701,19.982,99.837,35.744,150.597,47.821,5694.199,334.701,22.619,312.082,216.978,144.941,0.590640852,0.505028452,0.613097862,2.154018978,0.734911378,0.077845558,0.694849318,1.740297168,0.262096109,1.636757589,0.621840132,0.211265767,0.066853784,11.95501274,0.405771178,0.576519048,0.405064629,1.834464166,1.016267838,1539.037,182.1596675,0.008918242,0.000712091,LC,Acanthizidae,Thornbills and gerygones,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Acanthiza uropygialis,0.002113668,0.00928938,0.01344125,0.013794312,Chestnut-rumped Thornbill,Acanthiza_uropygialis,41.11111111,42.08333333,-1.4652616,-0.551042271,-0.444472309,2.244888527,-0.539632293,1.023648649,4.79E+12,200.509,143.654,47.779,5525.552,350.812,52.415,298.397,227.103,177.748,267.951,126.896,336.572,51.372,13.012,41.905,133.863,47.32,107.581,76.679,0.91707303,0.332422606,0.081146434,21.70770831,1.018410436,0.590044852,0.823404752,2.318952766,1.275430601,1.0288825,0.758027565,5.929440368,0.968277428,0.333792261,0.629218476,2.549033111,1.09469903,2.185350131,2.202999584,163.71,231.309,90.586,331.755,54.441,10.927,49.741,140.721,39.822,109.96,69.865,146.256,47.88,5504.278,316.212,13.461,302.751,184.208,140.569,0.888356391,0.907604134,0.779511541,5.838126128,1.050750492,0.314535536,0.684346586,2.794648676,1.019113786,2.352390729,2.410840295,0.329063439,0.08186759,16.61244106,0.828528524,0.586730544,0.641150585,2.309522598,1.200143151,3587.008,307.4708843,4.388754412,3.321305849,LC,Acanthizidae,Thornbills and gerygones,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Acanthorhynchus superciliosus,0.001392305,0.005063478,0.015367355,0.014789484,Western Spinebill,Acanthorhynchus_superciliosus,36.94444444,48.05555556,-0.985401185,-0.052622147,-0.14005922,-0.445276143,-0.539632293,1.30075188,1.82E+11,165.411,121.946,51.131,4096.788,300.222,62.922,237.3,120.494,212.755,218.811,115.26,579.503,101.553,14.169,58.817,273.405,51.031,54.936,270.891,0.427287554,0.395967011,0.074022418,22.22355515,0.869364429,0.389881936,0.98970375,0.409242524,0.476010042,0.628507996,0.3720172,6.821696676,1.536248434,0.149253863,0.553280788,4.025577754,0.435260256,0.422845956,4.016177137,131.356,187.165,80.125,608.179,117.242,12.147,68.148,315.342,45.331,48.765,298.613,131.419,51.673,4242.814,277.411,24.887,252.524,89.393,179.355,0.463646667,0.642096615,0.397569411,7.691338742,1.921475346,0.12431752,0.608901352,4.921411111,0.417779821,0.401996737,4.683750714,0.447821374,0.080190408,20.09615762,0.801398976,0.431249588,0.928431693,0.409350851,0.562301661,8439.513,285.0653142,22.6915967,6.632772907,LC,Meliphagidae,Honeyeaters,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Acanthorhynchus tenuirostris,0.001392305,0.001332413,0.013480407,0.012850886,Eastern Spinebill,Acanthorhynchus_tenuirostris,48.88888889,53.33333333,-0.868175609,-0.163494775,0.062613155,-0.445276143,-0.539632293,1.090909091,7.64E+11,152.7354709,117.4218437,49.4759519,4176.39479,273.6442886,37.99098196,235.6533066,162.2705411,149.3837675,204.3917836,97.43687375,955.1633267,130.6182365,40.5751503,33.94088176,359.507014,140.5631263,279.4228457,211.0951904,1.190747266,0.60499197,0.082759455,26.98019588,1.182481138,1.102403782,1.278144164,2.289023736,1.298707474,1.167114571,1.210950341,13.33335266,2.448702984,0.536158061,0.558720396,6.837522028,1.892421287,6.040507868,3.869195459,115.586,173.064,54.999,921.266,130.214,36.582,36.8,354.83,126.121,278.176,190.699,130.579,49.229,4596.856,251.666,-11.362,263.028,127.974,110.149,1.198713276,1.098126489,1.215738878,13.55695446,2.441538719,0.518005411,0.620905406,6.812515796,1.894833701,5.693641416,4.311709317,0.512228599,0.099097827,22.33031666,1.019540046,0.984835447,0.986702994,2.363465526,1.47005233,10691.729,260.4872801,28.96485656,8.103782019,LC,Meliphagidae,Honeyeaters,PASSERIFORMES,PASSERIFORMES,Passeri,-0.85,-0.29,44
Acanthornis magna,0.001392305,0.001332413,0.01475307,0.014436788,Scrubtit,Acanthornis_magna,46.66666667,45.55555556,-1.060611974,-0.517535046,-0.168513604,-0.445276143,-0.539632293,0.976190476,45032529327,99.58058058,85.39339339,49.21421421,2945.892893,196.1291291,24.22022022,171.9089089,65.31231231,137.5305305,137.6656657,61.63163163,1463.570571,172.3263263,65.48448448,26.26126126,481.2072072,232.8008008,233.6416416,470.0550551,0.631698976,0.278767601,0.045035972,8.907897887,0.561388621,0.647353004,0.535985052,0.734401468,0.59743694,0.600474245,0.68092473,17.20475374,1.94117298,0.69869669,0.199278366,5.631125234,2.70316816,2.6836526,5.498751887,59.946,108.418,12.906,1543.339,185.576,66.149,26.443,508.545,236.919,269.059,496.936,108.931,49.112,3693.814,186.146,-32.674,218.82,25.199,104.84,0.586090937,0.570774088,0.647436745,19.35483846,2.347261353,0.640595943,0.170004861,6.510676377,2.625053017,2.832091853,6.568519571,0.575213969,0.079572532,14.12106469,0.706083024,0.652005241,0.919327343,1.033245855,0.592452023,15166.221,229.7943928,6.854371573,2.143316479,LC,Acanthizidae,Thornbills and gerygones,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
